Algorithm,Preprocessing,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
Hierarchical,none,3,0.44936086230322897,352.83550286580163,0.7637021877764499
Hierarchical,none,4,0.39223366903908385,292.93649351192215,0.7396910540335826
Hierarchical,none,5,0.3269608597667026,265.6041912596051,0.8054186212646502
Hierarchical,normalize,3,0.39263397091010155,238.3611961040115,0.9445072193243359
Hierarchical,normalize,4,0.30057610851413286,183.20041331003893,1.2126540566653334
Hierarchical,normalize,5,0.2746385707004049,157.15682813316684,1.2329346338273415
Hierarchical,pca,3,0.39711843449015766,242.17868338631138,0.9417748107975564
Hierarchical,pca,4,0.30385562896533463,190.01248924480282,1.1432354358359547
Hierarchical,pca,5,0.2519277212902101,164.37093890078376,1.3133655250352119
Hierarchical,t+n,3,0.3919138993972382,225.10166886241385,0.9841148665630876
Hierarchical,t+n,4,0.3593064540473074,174.63414350951035,1.1958519903378253
Hierarchical,t+n,5,0.2837737338414787,148.56593990048256,1.2918426782170658
Hierarchical,t+n+pca,3,0.3927474672927744,225.84390070970824,0.9821594143698071
Hierarchical,t+n+pca,4,0.3601659653541807,175.2682726500153,1.1934745413492853
Hierarchical,t+n+pca,5,0.2846053192260366,149.1317159557341,1.2889509853109269
Hierarchical,transform,3,0.3919138993972382,225.1016688624138,0.9841148665630876
Hierarchical,transform,4,0.35930645404730727,174.63414350951035,1.195851990337825
Hierarchical,transform,5,0.28377373384147864,148.5659399004826,1.2918426782170656
KMeans,none,3,0.4719337319126895,375.8049613895007,0.7533139698796371
KMeans,none,4,0.39536002613896787,327.83531956540355,0.8912714871607132
KMeans,none,5,0.3673679006589221,309.7229284441923,0.879355390083892
KMeans,normalize,3,0.40072705527512986,249.7841749161647,0.9278712249013426
KMeans,normalize,4,0.32757426605518075,203.18771540485884,1.0626154629805404
KMeans,normalize,5,0.28492975186953856,179.48304754123404,1.1824636282149874
KMeans,pca,3,0.4014650272048267,250.51871861639694,0.9262560113561178
KMeans,pca,4,0.3283042681887028,203.85022586660796,1.060251571181412
KMeans,pca,5,0.2857156333651936,180.1446339717836,1.1800043298568397
KMeans,t+n,3,0.40288813951950425,236.0244880781757,0.9573957555907219
KMeans,t+n,4,0.3344650038835893,190.92707620157765,1.217400311580637
KMeans,t+n,5,0.29678829740123336,165.31547725774382,1.2667132748439014
KMeans,t+n+pca,3,0.40554739132232265,236.82268330797152,0.9552244305500688
KMeans,t+n+pca,4,0.3353974425472949,191.67957989951438,1.2150295560719635
KMeans,t+n+pca,5,0.2977941891261938,166.02361961783083,1.264014580045633
KMeans,transform,3,0.40288813951950425,236.02448807817566,0.9573957555907217
KMeans,transform,4,0.33446500388358924,190.92707620157765,1.2174003115806369
KMeans,transform,5,0.29678829740123336,165.31547725774385,1.2667132748439014
MeanShift,none,3,0.5182873410849101,351.1799921555833,0.6909798210703118
MeanShift,none,4,0.5182873410849101,351.1799921555833,0.6909798210703118
MeanShift,none,5,0.5182873410849101,351.1799921555833,0.6909798210703118
MeanShift,normalize,3,0.4399336845819259,245.4680295855409,0.8600773430450883
MeanShift,normalize,4,0.4399336845819259,245.4680295855409,0.8600773430450883
MeanShift,normalize,5,0.4399336845819259,245.4680295855409,0.8600773430450883
MeanShift,pca,3,0.44345658934814847,248.4248405053486,0.8523984237153792
MeanShift,pca,4,0.44345658934814847,248.4248405053486,0.8523984237153792
MeanShift,pca,5,0.44345658934814847,248.4248405053486,0.8523984237153792
